2022-02-13T23:52:02.286959 file 'test.txt' is opened
2022-02-13T23:52:03.148734  start connect with database
2022-02-13T23:52:03.205508 add the record in table clients:  Дмитраш Таня Константиновна ghost@gmail.com +380661117744 
2022-02-13T23:52:03.207794 add the record in table clients:  Веселовская Анастасия Сергеевна emailforpeople1@gmail.com +380962224433 
2022-02-13T23:52:03.210044 add the record in table clients:  Фомина Елизавета Дмитриевна emailforpeople2@gmail.com +380503330011 
2022-02-13T23:52:03.212063 add the record in table clients:  Скляр Николай Витальевич emailforpeople3@gmail.com +380965554411 
2022-02-13T23:52:03.213946 add the record in table clients:  Русанов Александр Александрович emailforpeople4@gmail.com +380504448811 
2022-02-13T23:52:03.217734 add the record in table clients:  Костенко Анатолий Владимирович emailforpeople5@gmail.com +380665551177 
2022-02-13T23:52:03.224580 add the record in table postal_offices:  42 вес посылки до 30 кг 
2022-02-13T23:52:03.230477 add the record in table postal_offices:  13 расположена возле кофетерия Pacamara 
2022-02-13T23:52:03.233585 add the record in table postal_offices:  27 длина посылки до 28 см 
2022-02-13T23:52:03.235535 add the record in table postal_offices:  5 работает улыбчивая команда 
2022-02-13T23:52:03.237213 add the record in table postal_offices:  11 при правильном ответе на вопрос: "как поймать тигра в клетку?", дают скидку 30% на доставку 
2022-02-13T23:52:03.238805 add the record in table postal_offices:  81 за качественные 20 приседаний угощают кофе 
2022-02-13T23:52:03.243790 add the record in table packages:  +380665551177 11 +380969998877 Музалева Елена Ивановна 2022-02-13 00:22:42.343 
2022-02-13T23:52:03.258372 game over 0.2
2022-02-13T23:52:03.261989  end connect with database
